                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.8903,                0.69158,                0.99741,                0.96894,                0.89356,                0.92596,                0.69926,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.88282,                 0.6802,                0.99347,                0.91591,                0.89163,                0.92723,                0.71428,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.87849,                0.67695,                0.99183,                0.89238,                0.89579,                0.91998,                0.69146,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.88655,                0.67371,                0.99183,                0.88624,                0.87525,                0.91129,                0.69422,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.87321,                0.67537,                0.98954,                0.90959,                 0.9039,                  0.925,                0.69792,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.87493,                 0.6573,                 0.9906,                0.87985,                0.91012,                 0.9239,                0.70886,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.87666,                 0.6683,                0.98801,                0.87491,                 0.8942,                0.92071,                0.68805,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.86506,                0.65339,                0.98647,                0.89865,                0.91308,                 0.9265,                0.68821,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.85609,                0.64431,                0.98253,                0.94943,                0.90684,                0.92174,                0.70821,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.85057,                0.64437,                0.98051,                0.96765,                0.90932,                0.92329,                0.70522,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.85352,                 0.6425,                0.97665,                0.96018,                0.89648,                0.92451,                0.69773,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.85227,                0.64255,                0.97936,                0.90915,                0.90771,                0.92794,                0.71494,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.83629,                0.63589,                0.97361,                0.91179,                0.90753,                0.92817,                0.71322,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.83902,                0.63998,                0.97324,                0.91252,                 0.9177,                0.92686,                0.71131,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.83703,                0.63102,                0.97426,                0.94559,                0.88437,                0.91612,                0.69804,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 0.8312,                 0.6236,                0.97301,                 0.9671,                0.90814,                0.92485,                0.70239,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.83956,                0.62541,                0.97998,                0.90326,                0.91085,                0.92649,                0.70288,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.82702,                0.62227,                0.96391,                0.97447,                0.90535,                0.92589,                0.69628,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.82165,                0.61197,                0.96698,                0.90663,                0.92001,                0.92774,                0.71452,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.82226,                0.61545,                0.97004,                0.91106,                 0.9211,                0.92852,                0.70717,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.81292,                0.60115,                0.96621,                0.90105,                0.91312,                0.92294,                0.69204,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.81783,                0.61567,                0.96421,                 0.9102,                0.89844,                0.92476,                 0.6849,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.81481,                0.60565,                0.96591,                0.90599,                0.90657,                0.92588,                0.70246,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.81488,                0.60929,                0.96376,                0.90528,                 0.9099,                0.92696,                0.70337,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.80616,                0.60572,                0.96044,                0.90303,                0.90874,                 0.9265,                0.70581,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.80472,                0.60064,                0.95638,                0.90866,                0.91902,                0.92791,                0.70627,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.80263,                0.60103,                0.95682,                0.90371,                0.90754,                0.92686,                0.70381,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 0.8044,                0.59789,                0.96214,                0.89902,                0.91362,                 0.9267,                0.69183,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.79388,                0.58876,                0.95471,                0.96704,                0.89897,                0.92432,                0.70902,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
